date,avg_monthly_price,price,year,month,month_name,quarter,season,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_std_3,diff_1,sin_month,cos_month,weight
2006-01-01,4000,8.294299608857235,2006,1,Jan,1,Winter,8.246433786160365,8.448057452581375,8.425735580927402,8.612685172875459,8.373408939889714,0.11052865572771729,0.04786582269687045,0.49999999999999994,0.8660254037844387,0.003345965457471272
2006-02-01,4755,8.467162257810672,2006,2,Feb,1,Winter,8.294299608857235,8.246433786160365,8.448057452581375,8.608312784783722,8.32959694919966,0.10534444642076367,0.17286264895343706,0.8660254037844386,0.5000000000000001,0.003345965457471272
2006-03-01,4176,8.337348564497175,2006,3,Mar,1,Summer,8.467162257810672,8.294299608857235,8.246433786160365,8.606485298894999,8.335965217609425,0.11611322820327519,-0.12981369331349768,1.0,6.123233995736766e-17,0.003345965457471272
2006-04-01,3500,8.160803920954665,2006,4,Apr,2,Summer,8.337348564497175,8.467162257810672,8.294299608857235,8.610319169405722,8.366270143721694,0.08998731665867223,-0.17654464354250976,0.8660254037844387,-0.4999999999999998,0.003345965457471272
2006-05-01,6000,8.699681400989514,2006,5,May,2,Summer,8.160803920954665,8.337348564497175,8.467162257810672,8.678801706612651,8.321771581087503,0.15377203728051891,0.5388774800348486,0.49999999999999994,-0.8660254037844387,0.003345965457471272
2006-06-01,4964,8.510168576479273,2006,6,Jun,2,Monsoon,8.699681400989514,8.160803920954665,8.337348564497175,8.528924114291936,8.399277962147117,0.2747247210247732,-0.1895128245102402,1.2246467991473532e-16,-1.0,0.003345965457471272
2006-07-01,4632,8.440959885416648,2006,7,Jul,3,Monsoon,8.510168576479273,8.699681400989514,8.160803920954665,8.501063809486354,8.456884632807816,0.27336169924125014,-0.0692086910626255,-0.4999999999999997,-0.8660254037844388,0.003345965457471272
2006-08-01,4696,8.454679286026995,2006,8,Aug,3,Monsoon,8.440959885416648,8.510168576479273,8.699681400989514,8.546751993657782,8.550269954295144,0.1339413902874275,0.01371940061034671,-0.8660254037844385,-0.5000000000000004,0.003345965457471272
2006-09-01,4762,8.46863300080086,2006,9,Sep,3,Monsoon,8.454679286026995,8.440959885416648,8.510168576479273,8.496990484098719,8.46860258264097,0.03664497743348731,0.013953714773865755,-1.0,-1.8369701987210297e-16,0.003345965457471272
2006-10-01,4494,8.410720946905721,2006,10,Oct,4,Post-Monsoon,8.46863300080086,8.454679286026995,8.440959885416648,8.425735580927402,8.454757390748167,0.01383672302343195,-0.05791205389513898,-0.8660254037844386,0.5000000000000001,0.003345965457471272
2006-11-01,4344,8.376781037699493,2006,11,Nov,4,Post-Monsoon,8.410720946905721,8.46863300080086,8.454679286026995,8.448057452581375,8.44467774457786,0.03022374265551763,-0.03393990920622869,-0.5000000000000004,0.8660254037844384,0.003345965457471272
2006-12-01,4262,8.35772841676521,2006,12,Dec,4,Winter,8.376781037699493,8.410720946905721,8.46863300080086,8.246433786160365,8.418711661802025,0.046444422967763375,-0.01905262093428206,-2.4492935982947064e-16,1.0,0.003345965457471272
2007-01-01,4118,8.323365694436081,2007,1,Jan,1,Winter,8.35772841676521,8.376781037699493,8.410720946905721,8.294299608857235,8.381743467123476,0.026842528606915626,-0.034362722329129625,0.49999999999999994,0.8660254037844387,0.00451658094261267
2007-02-01,3935,8.277920258172143,2007,2,Feb,1,Winter,8.323365694436081,8.35772841676521,8.376781037699493,8.467162257810672,8.352625049633595,0.027070888257417595,-0.04544543626393782,0.8660254037844386,0.5000000000000001,0.00451658094261267
2007-03-01,4000,8.294299608857235,2007,3,Mar,1,Summer,8.277920258172143,8.323365694436081,8.35772841676521,8.337348564497175,8.319671456457812,0.040032125726500174,0.01637935068509222,1.0,6.123233995736766e-17,0.00451658094261267
2007-04-01,4088,8.316055720364643,2007,4,Apr,2,Summer,8.294299608857235,8.277920258172143,8.323365694436081,8.160803920954665,8.298528520488487,0.023015965969118094,0.02175611150740764,0.8660254037844387,-0.4999999999999998,0.00451658094261267
2007-05-01,4231,8.350429973538136,2007,5,May,2,Summer,8.316055720364643,8.294299608857235,8.277920258172143,8.699681400989514,8.296091862464674,0.01913079974548634,0.03437425317349252,0.49999999999999994,-0.8660254037844387,0.00451658094261267
2007-06-01,4250,8.35490952835879,2007,6,Jun,2,Monsoon,8.350429973538136,8.316055720364643,8.294299608857235,8.510168576479273,8.320261767586672,0.028300575696023702,0.004479554820655096,1.2246467991473532e-16,-1.0,0.00451658094261267
